"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","CPI","TOT","AGRWTH","A","2002",1.645214,
"BEL","CPI","TOT","AGRWTH","A","2003",1.588964,
"BEL","CPI","TOT","AGRWTH","A","2004",2.097283,
"BEL","CPI","TOT","AGRWTH","A","2005",2.781433,
"BEL","CPI","TOT","AGRWTH","A","2006",1.791208,
"BEL","CPI","TOT","AGRWTH","A","2007",1.823056,
"BEL","CPI","TOT","AGRWTH","A","2008",4.489444,
"BEL","CPI","TOT","AGRWTH","A","2009",-0.05314567,
"BEL","CPI","TOT","AGRWTH","A","2010",2.189299,
"BEL","CPI","TOT","AGRWTH","A","2011",3.532082,
"BEL","CPI","TOT","AGRWTH","A","2012",2.839664,
"BEL","CPI","TOT","AGRWTH","A","2013",1.113096,
"BEL","CPI","TOT","AGRWTH","A","2014",0.3400028,
"BEL","CPI","TOT","AGRWTH","A","2015",0.5614291,
"BEL","CPI","TOT","AGRWTH","A","2016",1.973853,
"BEL","CPI","TOT","AGRWTH","A","2017",2.125971,
"BEL","CPI","TOT","AGRWTH","A","2018",2.053165,
"FIN","CPI","TOT","AGRWTH","A","2002",1.571221,
"FIN","CPI","TOT","AGRWTH","A","2003",0.8774385,
"FIN","CPI","TOT","AGRWTH","A","2004",0.1871234,
"FIN","CPI","TOT","AGRWTH","A","2005",0.6238712,
"FIN","CPI","TOT","AGRWTH","A","2006",1.566667,
"FIN","CPI","TOT","AGRWTH","A","2007",2.510666,
"FIN","CPI","TOT","AGRWTH","A","2008",4.065952,
"FIN","CPI","TOT","AGRWTH","A","2009",-0.0000000000000122217,
"FIN","CPI","TOT","AGRWTH","A","2010",1.184135,
"FIN","CPI","TOT","AGRWTH","A","2011",3.416809,
"FIN","CPI","TOT","AGRWTH","A","2012",2.808332,
"FIN","CPI","TOT","AGRWTH","A","2013",1.478288,
"FIN","CPI","TOT","AGRWTH","A","2014",1.0412,
"FIN","CPI","TOT","AGRWTH","A","2015",-0.207932,
"FIN","CPI","TOT","AGRWTH","A","2016",0.3566845,
"FIN","CPI","TOT","AGRWTH","A","2017",0.754015,
"FIN","CPI","TOT","AGRWTH","A","2018",1.083821,
"FRA","CPI","TOT","AGRWTH","A","2002",1.923412,
"FRA","CPI","TOT","AGRWTH","A","2003",2.098472,
"FRA","CPI","TOT","AGRWTH","A","2004",2.14209,
"FRA","CPI","TOT","AGRWTH","A","2005",1.745869,
"FRA","CPI","TOT","AGRWTH","A","2006",1.675125,
"FRA","CPI","TOT","AGRWTH","A","2007",1.487998,
"FRA","CPI","TOT","AGRWTH","A","2008",2.812862,
"FRA","CPI","TOT","AGRWTH","A","2009",0.08762048,
"FRA","CPI","TOT","AGRWTH","A","2010",1.531123,
"FRA","CPI","TOT","AGRWTH","A","2011",2.111598,
"FRA","CPI","TOT","AGRWTH","A","2012",1.954195,
"FRA","CPI","TOT","AGRWTH","A","2013",0.8637155,
"FRA","CPI","TOT","AGRWTH","A","2014",0.5077588,
"FRA","CPI","TOT","AGRWTH","A","2015",0.03751438,
"FRA","CPI","TOT","AGRWTH","A","2016",0.1833349,
"FRA","CPI","TOT","AGRWTH","A","2017",1.032283,
"FRA","CPI","TOT","AGRWTH","A","2018",1.850815,
"DEU","CPI","TOT","AGRWTH","A","2002",1.420807,
"DEU","CPI","TOT","AGRWTH","A","2003",1.034223,
"DEU","CPI","TOT","AGRWTH","A","2004",1.665736,
"DEU","CPI","TOT","AGRWTH","A","2005",1.546911,
"DEU","CPI","TOT","AGRWTH","A","2006",1.577429,
"DEU","CPI","TOT","AGRWTH","A","2007",2.298341,
"DEU","CPI","TOT","AGRWTH","A","2008",2.628383,
"DEU","CPI","TOT","AGRWTH","A","2009",0.3127377,
"DEU","CPI","TOT","AGRWTH","A","2010",1.103809,
"DEU","CPI","TOT","AGRWTH","A","2011",2.075173,
"DEU","CPI","TOT","AGRWTH","A","2012",2.008491,
"DEU","CPI","TOT","AGRWTH","A","2013",1.504722,
"DEU","CPI","TOT","AGRWTH","A","2014",0.9067971,
"DEU","CPI","TOT","AGRWTH","A","2015",0.514421,
"DEU","CPI","TOT","AGRWTH","A","2016",0.4917486,
"DEU","CPI","TOT","AGRWTH","A","2017",1.509497,
"DEU","CPI","TOT","AGRWTH","A","2018",1.732168,
"HUN","CPI","TOT","AGRWTH","A","2002",5.265448,
"HUN","CPI","TOT","AGRWTH","A","2003",4.661017,
"HUN","CPI","TOT","AGRWTH","A","2004",6.744347,
"HUN","CPI","TOT","AGRWTH","A","2005",3.561517,
"HUN","CPI","TOT","AGRWTH","A","2006",3.930326,
"HUN","CPI","TOT","AGRWTH","A","2007",7.958745,
"HUN","CPI","TOT","AGRWTH","A","2008",6.042512,
"HUN","CPI","TOT","AGRWTH","A","2009",4.211712,
"HUN","CPI","TOT","AGRWTH","A","2010",4.855558,
"HUN","CPI","TOT","AGRWTH","A","2011",3.929921,
"HUN","CPI","TOT","AGRWTH","A","2012",5.652145,
"HUN","CPI","TOT","AGRWTH","A","2013",1.7332,
"HUN","CPI","TOT","AGRWTH","A","2014",-0.2275663,
"HUN","CPI","TOT","AGRWTH","A","2015",-0.06164468,
"HUN","CPI","TOT","AGRWTH","A","2016",0.3947693,
"HUN","CPI","TOT","AGRWTH","A","2017",2.348243,
"HUN","CPI","TOT","AGRWTH","A","2018",2.850248,
"IRL","CPI","TOT","AGRWTH","A","2002",4.614733,
"IRL","CPI","TOT","AGRWTH","A","2003",3.49049,
"IRL","CPI","TOT","AGRWTH","A","2004",2.199629,
"IRL","CPI","TOT","AGRWTH","A","2005",2.429692,
"IRL","CPI","TOT","AGRWTH","A","2006",3.93164,
"IRL","CPI","TOT","AGRWTH","A","2007",4.897116,
"IRL","CPI","TOT","AGRWTH","A","2008",4.060305,
"IRL","CPI","TOT","AGRWTH","A","2009",-4.478103,
"IRL","CPI","TOT","AGRWTH","A","2010",-0.9220958,
"IRL","CPI","TOT","AGRWTH","A","2011",2.557189,
"IRL","CPI","TOT","AGRWTH","A","2012",1.696209,
"IRL","CPI","TOT","AGRWTH","A","2013",0.5087149,
"IRL","CPI","TOT","AGRWTH","A","2014",0.1825423,
"IRL","CPI","TOT","AGRWTH","A","2015",-0.2898791,
"IRL","CPI","TOT","AGRWTH","A","2016",0.008306338,
"IRL","CPI","TOT","AGRWTH","A","2017",0.3405316,
"IRL","CPI","TOT","AGRWTH","A","2018",0.4883702,
"NLD","CPI","TOT","AGRWTH","A","2002",3.287531,
"NLD","CPI","TOT","AGRWTH","A","2003",2.091998,
"NLD","CPI","TOT","AGRWTH","A","2004",1.263647,
"NLD","CPI","TOT","AGRWTH","A","2005",1.68813,
"NLD","CPI","TOT","AGRWTH","A","2006",1.101501,
"NLD","CPI","TOT","AGRWTH","A","2007",1.613859,
"NLD","CPI","TOT","AGRWTH","A","2008",2.486502,
"NLD","CPI","TOT","AGRWTH","A","2009",1.189777,
"NLD","CPI","TOT","AGRWTH","A","2010",1.275306,
"NLD","CPI","TOT","AGRWTH","A","2011",2.34107,
"NLD","CPI","TOT","AGRWTH","A","2012",2.455548,
"NLD","CPI","TOT","AGRWTH","A","2013",2.506899,
"NLD","CPI","TOT","AGRWTH","A","2014",0.9760351,
"NLD","CPI","TOT","AGRWTH","A","2015",0.6002482,
"NLD","CPI","TOT","AGRWTH","A","2016",0.3166667,
"NLD","CPI","TOT","AGRWTH","A","2017",1.381459,
"NLD","CPI","TOT","AGRWTH","A","2018",1.703498,
"NOR","CPI","TOT","AGRWTH","A","2002",1.286725,
"NOR","CPI","TOT","AGRWTH","A","2003",2.487826,
"NOR","CPI","TOT","AGRWTH","A","2004",0.4544985,
"NOR","CPI","TOT","AGRWTH","A","2005",1.532134,
"NOR","CPI","TOT","AGRWTH","A","2006",2.32935,
"NOR","CPI","TOT","AGRWTH","A","2007",0.7125891,
"NOR","CPI","TOT","AGRWTH","A","2008",3.753931,
"NOR","CPI","TOT","AGRWTH","A","2009",2.197386,
"NOR","CPI","TOT","AGRWTH","A","2010",2.418906,
"NOR","CPI","TOT","AGRWTH","A","2011",1.284952,
"NOR","CPI","TOT","AGRWTH","A","2012",0.6968641,
"NOR","CPI","TOT","AGRWTH","A","2013",2.120486,
"NOR","CPI","TOT","AGRWTH","A","2014",2.041703,
"NOR","CPI","TOT","AGRWTH","A","2015",2.171137,
"NOR","CPI","TOT","AGRWTH","A","2016",3.55,
"NOR","CPI","TOT","AGRWTH","A","2017",1.875101,
"NOR","CPI","TOT","AGRWTH","A","2018",2.764831,
"POL","CPI","TOT","AGRWTH","A","2002",1.941667,
"POL","CPI","TOT","AGRWTH","A","2003",0.8416666,
"POL","CPI","TOT","AGRWTH","A","2004",3.491667,
"POL","CPI","TOT","AGRWTH","A","2005",2.133333,
"POL","CPI","TOT","AGRWTH","A","2006",1.033333,
"POL","CPI","TOT","AGRWTH","A","2007",2.491667,
"POL","CPI","TOT","AGRWTH","A","2008",4.216667,
"POL","CPI","TOT","AGRWTH","A","2009",3.45,
"POL","CPI","TOT","AGRWTH","A","2010",2.583333,
"POL","CPI","TOT","AGRWTH","A","2011",4.266667,
"POL","CPI","TOT","AGRWTH","A","2012",3.7,
"POL","CPI","TOT","AGRWTH","A","2013",0.9,
"POL","CPI","TOT","AGRWTH","A","2014",-0.025,
"POL","CPI","TOT","AGRWTH","A","2015",-0.9333333,
"POL","CPI","TOT","AGRWTH","A","2016",-0.5833333,
"POL","CPI","TOT","AGRWTH","A","2017",1.975,
"POL","CPI","TOT","AGRWTH","A","2018",1.666667,
"PRT","CPI","TOT","AGRWTH","A","2002",3.600347,
"PRT","CPI","TOT","AGRWTH","A","2003",3.218991,
"PRT","CPI","TOT","AGRWTH","A","2004",2.365362,
"PRT","CPI","TOT","AGRWTH","A","2005",2.277164,
"PRT","CPI","TOT","AGRWTH","A","2006",3.107666,
"PRT","CPI","TOT","AGRWTH","A","2007",2.453965,
"PRT","CPI","TOT","AGRWTH","A","2008",2.588506,
"PRT","CPI","TOT","AGRWTH","A","2009",-0.83553,
"PRT","CPI","TOT","AGRWTH","A","2010",1.402573,
"PRT","CPI","TOT","AGRWTH","A","2011",3.653011,
"PRT","CPI","TOT","AGRWTH","A","2012",2.773339,
"PRT","CPI","TOT","AGRWTH","A","2013",0.2744167,
"PRT","CPI","TOT","AGRWTH","A","2014",-0.2781534,
"PRT","CPI","TOT","AGRWTH","A","2015",0.4879386,
"PRT","CPI","TOT","AGRWTH","A","2016",0.6073971,
"PRT","CPI","TOT","AGRWTH","A","2017",1.368614,
"PRT","CPI","TOT","AGRWTH","A","2018",0.9937157,
"ESP","CPI","TOT","AGRWTH","A","2002",3.065766,
"ESP","CPI","TOT","AGRWTH","A","2003",3.039234,
"ESP","CPI","TOT","AGRWTH","A","2004",3.039202,
"ESP","CPI","TOT","AGRWTH","A","2005",3.368454,
"ESP","CPI","TOT","AGRWTH","A","2006",3.515375,
"ESP","CPI","TOT","AGRWTH","A","2007",2.78703,
"ESP","CPI","TOT","AGRWTH","A","2008",4.075661,
"ESP","CPI","TOT","AGRWTH","A","2009",-0.2879968,
"ESP","CPI","TOT","AGRWTH","A","2010",1.799881,
"ESP","CPI","TOT","AGRWTH","A","2011",3.196146,
"ESP","CPI","TOT","AGRWTH","A","2012",2.446,
"ESP","CPI","TOT","AGRWTH","A","2013",1.408546,
"ESP","CPI","TOT","AGRWTH","A","2014",-0.1508703,
"ESP","CPI","TOT","AGRWTH","A","2015",-0.5004613,
"ESP","CPI","TOT","AGRWTH","A","2016",-0.2026717,
"ESP","CPI","TOT","AGRWTH","A","2017",1.956083,
"ESP","CPI","TOT","AGRWTH","A","2018",1.675068,
"SWE","CPI","TOT","AGRWTH","A","2002",2.158482,
"SWE","CPI","TOT","AGRWTH","A","2003",1.925655,
"SWE","CPI","TOT","AGRWTH","A","2004",0.3736598,
"SWE","CPI","TOT","AGRWTH","A","2005",0.4531709,
"SWE","CPI","TOT","AGRWTH","A","2006",1.360215,
"SWE","CPI","TOT","AGRWTH","A","2007",2.212169,
"SWE","CPI","TOT","AGRWTH","A","2008",3.437049,
"SWE","CPI","TOT","AGRWTH","A","2009",-0.4944606,
"SWE","CPI","TOT","AGRWTH","A","2010",1.157988,
"SWE","CPI","TOT","AGRWTH","A","2011",2.961151,
"SWE","CPI","TOT","AGRWTH","A","2012",0.8883775,
"SWE","CPI","TOT","AGRWTH","A","2013",-0.04429297,
"SWE","CPI","TOT","AGRWTH","A","2014",-0.1796385,
"SWE","CPI","TOT","AGRWTH","A","2015",-0.04678474,
"SWE","CPI","TOT","AGRWTH","A","2016",0.9842693,
"SWE","CPI","TOT","AGRWTH","A","2017",1.794499,
"SWE","CPI","TOT","AGRWTH","A","2018",1.953535,
"CHE","CPI","TOT","AGRWTH","A","2002",0.6427115,
"CHE","CPI","TOT","AGRWTH","A","2003",0.6382729,
"CHE","CPI","TOT","AGRWTH","A","2004",0.8029087,
"CHE","CPI","TOT","AGRWTH","A","2005",1.171954,
"CHE","CPI","TOT","AGRWTH","A","2006",1.059509,
"CHE","CPI","TOT","AGRWTH","A","2007",0.7323506,
"CHE","CPI","TOT","AGRWTH","A","2008",2.426041,
"CHE","CPI","TOT","AGRWTH","A","2009",-0.4804819,
"CHE","CPI","TOT","AGRWTH","A","2010",0.6882387,
"CHE","CPI","TOT","AGRWTH","A","2011",0.2313492,
"CHE","CPI","TOT","AGRWTH","A","2012",-0.692552,
"CHE","CPI","TOT","AGRWTH","A","2013",-0.2173232,
"CHE","CPI","TOT","AGRWTH","A","2014",-0.01320254,
"CHE","CPI","TOT","AGRWTH","A","2015",-1.143909,
"CHE","CPI","TOT","AGRWTH","A","2016",-0.4346187,
"CHE","CPI","TOT","AGRWTH","A","2017",0.5337878,
"CHE","CPI","TOT","AGRWTH","A","2018",0.9363354,
"GBR","CPI","TOT","AGRWTH","A","2002",1.5,
"GBR","CPI","TOT","AGRWTH","A","2003",1.4,
"GBR","CPI","TOT","AGRWTH","A","2004",1.4,
"GBR","CPI","TOT","AGRWTH","A","2005",2.1,
"GBR","CPI","TOT","AGRWTH","A","2006",2.5,
"GBR","CPI","TOT","AGRWTH","A","2007",2.4,
"GBR","CPI","TOT","AGRWTH","A","2008",3.5,
"GBR","CPI","TOT","AGRWTH","A","2009",2,
"GBR","CPI","TOT","AGRWTH","A","2010",2.5,
"GBR","CPI","TOT","AGRWTH","A","2011",3.8,
"GBR","CPI","TOT","AGRWTH","A","2012",2.6,
"GBR","CPI","TOT","AGRWTH","A","2013",2.3,
"GBR","CPI","TOT","AGRWTH","A","2014",1.5,
"GBR","CPI","TOT","AGRWTH","A","2015",0.4,
"GBR","CPI","TOT","AGRWTH","A","2016",1,
"GBR","CPI","TOT","AGRWTH","A","2017",2.6,
"GBR","CPI","TOT","AGRWTH","A","2018",2.3,
"SVN","CPI","TOT","AGRWTH","A","2002",7.480778,
"SVN","CPI","TOT","AGRWTH","A","2003",5.544164,
"SVN","CPI","TOT","AGRWTH","A","2004",3.592976,
"SVN","CPI","TOT","AGRWTH","A","2005",2.451501,
"SVN","CPI","TOT","AGRWTH","A","2006",2.457924,
"SVN","CPI","TOT","AGRWTH","A","2007",3.657496,
"SVN","CPI","TOT","AGRWTH","A","2008",5.647424,
"SVN","CPI","TOT","AGRWTH","A","2009",0.8392622,
"SVN","CPI","TOT","AGRWTH","A","2010",1.80117,
"SVN","CPI","TOT","AGRWTH","A","2011",1.802852,
"SVN","CPI","TOT","AGRWTH","A","2012",2.597414,
"SVN","CPI","TOT","AGRWTH","A","2013",1.769201,
"SVN","CPI","TOT","AGRWTH","A","2014",0.1993438,
"SVN","CPI","TOT","AGRWTH","A","2015",-0.5255523,
"SVN","CPI","TOT","AGRWTH","A","2016",-0.05499954,
"SVN","CPI","TOT","AGRWTH","A","2017",1.429107,
"SVN","CPI","TOT","AGRWTH","A","2018",1.738609,
"OECD","CPI","TOT","AGRWTH","A","2002",2.780863,
"OECD","CPI","TOT","AGRWTH","A","2003",2.480412,
"OECD","CPI","TOT","AGRWTH","A","2004",2.410863,
"OECD","CPI","TOT","AGRWTH","A","2005",2.643845,
"OECD","CPI","TOT","AGRWTH","A","2006",2.672233,
"OECD","CPI","TOT","AGRWTH","A","2007",2.548515,
"OECD","CPI","TOT","AGRWTH","A","2008",3.738313,
"OECD","CPI","TOT","AGRWTH","A","2009",0.5568442,
"OECD","CPI","TOT","AGRWTH","A","2010",1.803164,
"OECD","CPI","TOT","AGRWTH","A","2011",2.849658,
"OECD","CPI","TOT","AGRWTH","A","2012",2.243422,
"OECD","CPI","TOT","AGRWTH","A","2013",1.604664,
"OECD","CPI","TOT","AGRWTH","A","2014",1.741566,
"OECD","CPI","TOT","AGRWTH","A","2015",0.6845357,
"OECD","CPI","TOT","AGRWTH","A","2016",1.197484,
"OECD","CPI","TOT","AGRWTH","A","2017",2.281251,
"OECD","CPI","TOT","AGRWTH","A","2018",2.60698,
